<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.10.17	149.540	149.868	149.241	149.625	42392	0	1
2024.10.18	150.133	150.285	149.363	149.518	80438	0	1
2024.10.21	149.475	150.884	149.089	150.831	86433	0	1
2024.10.22	150.715	151.194	150.491	151.069	94268	0	1
2024.10.23	150.961	153.185	150.958	152.751	103491	0	1
2024.10.24	152.656	152.832	151.551	151.821	108973	0	1
2024.10.25	151.823	152.377	151.453	152.327	94983	0	1
2024.10.28	153.174	153.879	152.405	153.281	111517	0	1
2024.10.29	153.202	153.865	152.754	153.352	101964	0	1
2024.10.30	153.351	153.494	152.779	153.415	103141	0	1
2024.10.31	153.404	153.618	151.833	152.025	123588	0	1
2024.11.01	151.930	153.092	151.787	152.983	108923	0	1
2024.11.04	152.262	152.524	151.532	152.127	101265	0	1
2024.11.05	152.052	152.544	151.335	151.612	82935	0	1
2024.11.06	151.523	154.335	151.283	153.951	46464	0	1
2024.11.08	152.904	153.369	152.140	152.764	78381	0	1
2024.11.11	152.662	153.953	152.611	153.682	73807	0	1
2024.11.12	153.686	154.921	153.409	154.600	89411	0	1
2024.11.13	154.585	155.624	154.337	155.433	92161	0	1
2024.11.14	155.324	156.419	155.304	156.235	91053	0	2
2024.11.15	156.186	156.748	153.862	154.410	106443	0	2
2024.11.18	154.278	155.357	153.840	154.624	107720	0	2
2024.11.19	154.590	154.799	153.275	154.622	108568	0	2
2024.11.20	154.633	155.887	154.516	155.380	84959	0	2
2024.11.21	155.392	155.392	153.902	154.502	109042	0	2
2024.11.22	154.448	155.021	153.967	154.778	93770	0	1
2024.11.25	154.170	154.722	153.547	154.179	119326	0	1
2024.11.26	154.179	154.486	153.665	153.692	28309	0	1
2024.11.27	152.983	153.233	150.453	151.075	121190	0	1
2024.11.28	151.055	151.951	150.861	151.534	70624	0	1
2024.11.29	151.515	151.542	149.462	149.612	126591	0	1
2024.12.02	149.577	150.752	149.080	149.585	121621	0	1
2024.12.03	149.585	150.237	148.645	149.592	107345	0	1
2024.12.04	149.584	151.230	149.520	150.550	113488	0	1
2024.12.05	150.516	150.775	149.654	150.020	96748	0	1
2024.12.06	150.003	150.697	149.365	150.055	93238	0	1
2024.12.09	149.954	151.346	149.691	151.147	80991	0	1
2024.12.10	151.156	152.180	150.894	151.936	86811	0	1
2024.12.11	151.916	152.867	151.010	152.439	96927	0	1
2024.12.12	152.312	152.773	151.797	152.620	97914	0	1
2024.12.13	152.573	153.798	152.452	153.668	77488	0	1
2024.12.16	153.610	154.479	153.319	154.083	71530	0	1
2024.12.17	154.014	154.343	153.161	153.363	84397	0	1
2024.12.18	153.358	154.863	153.329	154.694	86615	0	1
2024.12.19	154.646	157.807	154.433	157.416	120647	0	1
2024.12.20	157.335	157.927	155.952	156.455	114066	0	1
2024.12.23	156.292	157.267	156.282	157.049	72034	0	1
2024.12.24	157.050	157.390	156.889	157.045	49007	0	1
2024.12.26	157.110	158.083	157.072	157.964	54565	0	1
2024.12.27	157.852	157.948	157.348	157.860	63539	0	1
2024.12.30	157.733	158.068	156.668	156.826	66342	0	1
2024.12.31	156.818	157.548	156.020	157.194	73344	0	1
2025.01.02	157.117	157.848	156.435	157.468	80844	0	1
2025.01.03	157.394	157.568	156.871	157.285	58005	0	2
2025.01.06	157.138	157.962	156.238	157.509	79161	0	2
2025.01.07	157.422	158.426	157.363	158.024	81404	0	2
2025.01.08	158.030	158.552	157.901	158.314	74427	0	2
2025.01.09	158.239	158.398	157.574	158.113	56591	0	2
2025.01.10	158.096	158.876	157.231	157.718	81859	0	2
2025.01.13	157.680	157.963	156.910	157.442	75458	0	2
2025.01.14	157.449	158.195	157.060	157.951	80117	0	2
2025.01.15	157.930	158.080	155.933	156.440	78471	0	2
2025.01.16	156.437	156.522	155.069	155.073	83887	0	2
2025.01.17	155.072	156.372	154.976	156.247	68157	0	2
2025.01.20	156.158	156.583	155.415	155.586	71199	0	2
2025.01.21	155.557	156.232	154.774	155.482	86468	0	2
2025.01.22	155.384	156.708	155.351	156.494	66006	0	2
2025.01.23	156.463	156.750	155.741	156.060	69256	0	2
2025.01.24	156.049	156.578	154.843	155.933	99869	0	2
2025.01.27	155.535	156.245	153.713	154.447	103273	0	2
2025.01.28	154.517	155.976	154.442	155.503	80292	0	2
2025.01.29	155.580	155.787	154.936	155.168	81414	0	2
2025.01.30	155.225	155.242	153.788	154.227	91749	0	2
2025.01.31	154.175	155.220	153.912	155.184	92833	0	2
2025.02.03	154.861	155.881	154.008	154.740	119842	0	2
2025.02.04	154.739	155.521	154.172	154.338	88383	0	2
2025.02.05	154.336	154.461	152.114	152.555	96683	0	2
2025.02.06	152.605	152.891	151.237	151.456	85415	0	2
2025.02.07	151.389	152.427	150.928	151.442	92570	0	2
2025.02.10	151.311	152.537	151.204	151.973	74121	0	1
2025.02.11	151.992	152.604	151.648	152.493	68316	0	2
2025.02.12	152.478	154.797	152.367	154.402	89820	0	2
2025.02.13	154.416	154.667	152.700	152.801	88622	0	2
2025.02.14	152.800	153.153	152.025	152.347	78846	0	2
2025.02.17	152.508	152.508	151.336	151.500	62926	0	2
2025.02.18	151.488	152.220	151.231	152.066	75849	0	2
2025.02.19	152.050	152.311	151.244	151.471	86999	0	2
2025.02.20	151.463	151.481	149.397	149.611	96007	0	2
2025.02.21	149.620	150.734	148.923	149.321	97855	0	2
2025.02.24	149.177	149.873	148.845	149.689	105549	0	2
2025.02.25	149.705	150.303	148.566	149.019	117889	0	2
2025.02.26	149.020	149.887	148.625	149.083	113848	0	2
2025.02.27	149.084	150.162	148.741	149.791	116655	0	2
2025.02.28	149.805	150.987	149.097	150.572	117632	0	2
2025.03.03	150.607	151.300	149.097	149.444	124591	0	2
2025.03.04	149.496	149.878	148.097	149.814	154070	0	1
2025.03.05	149.789	150.183	148.390	148.855	141421	0	2
2025.03.06	148.872	149.333	147.310	147.960	142288	0	2
2025.03.07	147.972	148.199	146.946	148.007	141739	0	2
2025.03.10	147.899	147.946	146.631	147.256	124114	0	2
2025.03.11	147.241	148.116	146.542	147.766	140599	0	2
2025.03.12	147.772	149.192	147.541	148.255	104141	0	2
2025.03.13	148.215	148.372	147.415	147.806	107586	0	2
2025.03.14	147.809	149.021	147.732	148.596	88906	0	2
2025.03.17	148.730	149.282	148.214	149.194	90045	0	2
2025.03.18	149.200	149.934	149.089	149.278	82684	0	2
2025.03.19	149.254	150.146	148.602	148.673	81623	0	2
2025.03.20	148.667	148.961	148.179	148.790	81873	0	2
2025.03.21	148.750	149.661	148.576	149.314	79844	0	2
2025.03.24	149.234	150.755	149.234	150.688	73194	0	2
2025.03.25	150.520	150.944	149.549	149.890	71570	0	2
2025.03.26	149.882	150.747	149.798	150.534	76728	0	2
2025.03.27	150.548	151.156	150.059	151.029	85129	0	2
2025.03.28	151.015	151.206	149.683	149.853	84490	0	2
2025.03.31	149.712	150.266	148.700	149.921	110671	0	2
2025.04.01	149.954	150.138	148.975	149.606	98559	0	2
2025.04.02	149.587	150.487	149.101	149.240	99690	0	2
2025.04.03	149.202	149.244	145.185	146.046	161428	0	2
2025.04.04	146.030	147.433	144.550	146.885	185261	0	2
2025.04.07	145.382	148.145	144.815	147.848	214850	0	2
2025.04.08	147.779	148.121	145.964	146.229	170895	0	2
2025.04.09	146.220	148.278	143.999	147.688	193400	0	2
2025.04.10	147.710	147.717	144.013	144.431	174118	0	2
2025.04.11	144.409	144.630	142.066	143.556	172371	0	2
2025.04.14	143.867	144.081	142.231	142.952	138897	0	2
2025.04.15	142.954	143.595	142.597	143.060	102172	0	2
2025.04.16	143.132	143.279	141.640	141.812	114659	0	2
2025.04.17	141.781	143.084	141.611	142.372	107033	0	2
2025.04.18	142.368	142.505	142.086	142.093	127192	0	4
2025.04.21	142.056	142.113	140.468	140.774	86593	0	4
2025.04.22	140.767	141.667	139.885	141.444	97353	0	2
2025.04.23	141.500	143.571	141.442	143.440	122736	0	2
2025.04.24	143.338	143.387	142.275	142.560	88888	0	2
2025.04.25	142.563	144.029	142.526	143.726	87294	0	2
2025.04.28	143.524	143.894	141.949	141.964	82104	0	2
2025.04.29	141.947	142.757	141.947	142.218	81482	0	2
2025.04.30	142.213	143.190	142.134	142.946	87636	0	2
2025.05.01	142.907	145.733	142.879	145.365	80588	0	2
2025.05.02	145.366	145.925	143.727	144.850	97048	0	2
2025.05.05	144.649	144.994	143.537	143.667	73856	0	2
2025.05.06	143.660	144.273	142.348	142.348	80634	0	2
2025.05.07	142.362	144.001	142.362	143.796	95796	0	2
2025.05.08	143.725	146.173	143.442	145.883	96761	0	2
2025.05.09	145.808	146.185	144.823	145.372	76440	0	2
2025.05.12	146.215	148.648	145.702	148.430	108954	0	2
2025.05.13	148.306	148.462	147.374	147.394	88907	0	2
2025.05.14	147.392	147.670	145.606	146.638	96141	0	2
2025.05.15	146.646	146.756	145.411	145.557	88111	0	2
2025.05.16	145.556	146.098	144.918	145.623	76353	0	2
2025.05.19	145.190	145.468	144.662	144.767	88251	0	2
2025.05.20	144.779	145.510	144.090	144.461	84326	0	2
2025.05.21	144.465	144.565	143.280	143.639	94357	0	2
2025.05.22	143.625	144.399	142.801	143.910	97458	0	1
2025.05.23	143.906	144.084	142.418	142.565	89293	0	1
2025.05.26	142.430	143.083	142.226	142.816	54076	0	1
2025.05.27	142.758	144.455	142.114	144.235	77927	0	1
2025.05.28	144.245	145.076	143.850	144.787	78586	0	1
2025.05.29	144.780	146.284	143.960	144.139	95493	0	1
2025.05.30	144.116	144.441	143.441	144.050	93203	0	1
2025.06.02	143.767	143.986	142.536	142.657	87158	0	1
2025.06.03	142.661	144.107	142.378	143.900	74594	0	1
2025.06.04	143.874	144.385	142.602	142.724	78193	0	1
2025.06.05	142.725	143.974	142.527	143.428	87819	0	1
2025.06.06	143.416	145.086	143.346	144.864	82149	0	1
2025.06.09	144.762	144.946	143.974	144.458	63036	0	1
2025.06.10	144.458	145.290	144.401	144.787	72668	0	1
2025.06.11	144.801	145.465	144.324	144.479	81130	0	1
2025.06.12	144.482	144.556	143.184	143.437	88802	0	1
2025.06.13	143.440	144.482	142.790	144.119	101271	0	1
2025.06.16	143.930	144.876	143.649	144.687	84977	0	1
2025.06.17	144.687	145.379	144.349	145.168	90756	0	1
2025.06.18	145.186	145.437	144.325	145.110	82900	0	1
2025.06.19	145.060	145.769	144.733	145.395	62237	0	1
2025.06.20	145.330	146.218	145.117	146.090	72113	0	1
2025.06.23	146.666	148.028	146.011	146.059	100495	0	1
2025.06.24	146.066	146.181	144.514	144.885	88978	0	1
2025.06.25	144.888	145.951	144.606	145.131	73999	0	1
2025.06.26	145.147	145.261	143.752	144.353	90521	0	1
2025.06.27	144.351	144.947	144.175	144.658	84275	0	1
2025.06.30	144.302	144.756	143.776	143.988	87866	0	1
2025.07.01	143.993	144.073	142.680	143.389	87078	0	1
2025.07.02	143.392	144.248	143.319	143.632	80167	0	1
2025.07.03	143.632	145.234	143.443	144.892	71694	0	1
2025.07.04	144.893	144.966	144.181	144.524	63478	0	1
2025.07.07	144.361	146.241	144.224	146.017	77084	0	1
2025.07.08	146.016	146.976	145.827	146.551	76376	0	1
2025.07.09	146.551	147.178	146.250	146.310	71667	0	1
2025.07.10	146.322	146.786	145.752	146.228	67238	0	1
2025.07.11	146.220	147.520	146.132	147.418	71718	0	1
2025.07.14	147.148	147.778	146.854	147.690	68540	0	1
2025.07.15	147.690	149.021	147.547	148.850	65191	0	1
2025.07.16	148.850	149.183	146.912	147.814	83785	0	1
2025.07.17	147.814	149.082	147.726	148.586	75135	0	1
2025.07.18	148.586	148.881	148.181	148.829	70626	0	1
2025.07.21	147.925	148.667	147.077	147.335	71001	0	1
2025.07.22	147.203	147.948	146.310	146.638	68715	0	1
2025.07.23	146.585	147.212	146.107	146.474	82920	0	1
2025.07.24	146.423	147.019	145.855	146.999	81228	0	1
2025.07.25	146.985	147.938	146.813	147.654	77580	0	1
2025.07.28	147.707	148.577	147.516	148.540	79975	0	1
2025.07.29	148.422	148.809	148.154	148.460	74281	0	1
2025.07.30	148.374	149.527	147.801	149.527	85167	0	1
2025.07.31	149.475	150.842	148.589	150.760	90856	0	1
2025.08.01	150.684	150.918	147.292	147.380	107095	0	1
2025.08.04	147.200	148.088	146.861	147.085	104954	0	1
2025.08.05	147.060	147.834	146.619	147.556	92800	0	1
2025.08.06	147.584	147.885	146.976	147.354	86389	0	1
2025.08.07	147.310	147.707	146.689	147.144	99217	0	1
2025.08.08	147.068	147.905	146.714	147.743	90000	0	1
2025.08.11	147.446	148.253	147.348	148.138	78653	0	1
2025.08.12	148.140	148.518	147.577	147.852	95442	0	1
2025.08.13	147.837	148.164	147.090	147.377	83869	0	1
2025.08.14	147.304	147.959	146.213	147.745	97393	0	1
2025.08.15	147.747	147.869	146.736	147.173	79148	0	1
2025.08.18	147.093	147.986	147.073	147.847	79706	0	1
2025.08.19	147.869	148.107	147.443	147.666	82529	0	1
2025.08.20	147.629	147.818	146.867	147.302	81535	0	1
2025.08.21	147.314	148.406	147.216	148.378	82906	0	1
2025.08.22	148.361	148.779	146.573	146.940	82647	0	1
2025.08.25	146.826	147.938	146.763	147.743	73833	0	1
2025.08.26	147.745	147.906	146.987	147.424	89998	0	1
2025.08.27	147.339	148.184	147.238	147.411	78112	0	1
2025.08.28	147.358	147.483	146.662	146.928	81164	0	1
2025.08.29	146.921	147.406	146.759	147.033	77563	0	1
2025.09.01	147.003	147.381	146.782	147.170	62979	0	1
2025.09.02	147.168	148.944	147.042	148.332	96453	0	1
2025.09.03	148.355	149.132	147.876	148.105	83474	0	1
2025.09.04	148.086	148.779	147.787	148.463	80799	0	1
2025.09.05	148.465	148.533	146.817	147.380	84712	0	1
2025.09.08	148.128	148.579	147.335	147.517	83512	0	1
2025.09.09	147.469	147.540	146.304	147.401	88079	0	1
2025.09.10	147.373	147.647	147.063	147.452	81828	0	1
2025.09.11	147.454	148.152	146.985	147.216	82274	0	1
2025.09.12	147.199	148.071	147.117	147.667	74644	0	1
2025.09.15	147.585	147.774	147.232	147.410	72273	0	1
2025.09.16	147.380	147.539	146.276	146.449	78765	0	1
2025.09.17	146.481	147.050	145.485	146.981	68964	0	1
2025.09.18	146.978	148.265	146.771	147.989	84165	0	1
2025.09.19	147.983	148.286	147.193	147.960	95136	0	1
2025.09.22	147.907	148.375	147.655	147.726	74373	0	1
2025.09.23	147.700	147.926	147.458	147.651	78789	0	1
2025.09.24	147.623	148.911	147.513	148.903	72573	0	1
2025.09.25	148.882	149.922	148.555	149.793	84345	0	1
2025.09.26	149.786	149.955	149.402	149.518	77231	0	1
2025.09.29	149.470	149.518	148.469	148.585	74285	0	1
2025.09.30	148.586	148.844	147.650	147.926	85905	0	3
2025.10.01	147.869	148.225	146.577	147.066	94621	0	3
2025.10.02	147.062	147.513	146.596	147.253	78271	0	3
2025.10.03	147.267	147.810	147.058	147.479	74983	0	3
2025.10.06	149.521	150.475	149.035	150.362	98921	0	3
2025.10.07	150.344	152.039	150.215	151.888	79314	0	3
2025.10.08	151.894	152.999	151.737	152.694	92703	0	3
2025.10.09	152.679	153.236	152.103	153.081	102060	0	3
2025.10.10	153.062	153.270	151.160	151.179	111829	0	3
2025.10.13	151.864	152.446	151.719	152.297	95463	0	3
2025.10.14	152.263	152.607	151.598	151.803	117290	0	3
2025.10.15	151.793	151.874	150.896	151.053	98754	0	3
2025.10.16	151.043	151.401	150.206	150.431	106502	0	3
2025.10.17	150.425	150.628	149.377	150.585	109332	0	3
2025.10.20	150.437	151.201	150.269	150.746	79394	0	4
2025.10.21	150.673	152.172	150.460	151.923	94952	0	3
2025.10.22	151.921	152.046	151.482	151.967	93270	0	3
2025.10.23	151.955	152.798	151.820	152.588	71473	0	3
2025.10.24	152.550	153.063	152.220	152.873	74426	0	3
2025.10.27	152.797	153.255	152.562	152.875	77378	0	0
2025.10.28	152.865	152.879	151.755	152.104	86907	0	0
2025.10.29	152.098	153.061	151.539	152.727	87491	0	0
2025.10.30	152.719	154.446	152.157	154.150	97378	0	0
2025.10.31	154.119	154.411	153.652	154.050	75272	0	0
2025.11.03	154.035	154.296	153.906	154.202	56609	0	0
2025.11.04	154.205	154.486	153.316	153.655	78248	0	0
2025.11.05	153.633	154.355	152.956	154.108	80506	0	0
2025.11.06	154.099	154.141	152.832	153.052	71856	0	0
2025.11.07	152.946	153.592	152.816	153.415	81898	0	0
2025.11.10	153.658	154.247	153.414	154.126	74653	0	0
2025.11.11	154.138	154.493	153.665	154.151	65126	0	0
2025.11.12	154.141	155.044	154.026	154.807	69201	0	0
2025.11.13	154.776	155.016	154.127	154.517	88121	0	0
2025.11.14	154.530	154.765	153.616	154.508	97940	0	0
2025.11.17	154.501	155.305	154.414	155.259	71781	0	0
2025.11.18	155.072	155.731	154.815	155.515	96004	0	0
2025.11.19	155.374	157.180	155.212	157.157	89704	0	0
2025.11.20	157.145	157.895	156.880	157.460	102523	0	0
2025.11.21	157.439	157.543	156.200	156.338	103402	0	0
2025.11.24	156.268	157.189	156.268	156.909	69555	0	0
2025.11.25	156.821	156.983	155.805	156.072	77459	0	0
2025.11.26	155.896	156.735	155.652	156.444	86268	0	0
2025.11.27	156.367	156.446	155.720	156.296	50831	0	2
2025.11.28	156.195	156.578	155.980	156.140	126545	0	2
2025.12.01	156.043	156.153	154.666	155.473	71037	0	0
2025.12.02	155.413	156.175	155.360	155.854	57678	0	0
2025.12.03	155.768	155.904	155.012	155.213	58921	0	0
2025.12.04	155.173	155.541	154.509	155.109	67486	0	0
2025.12.05	155.062	155.492	154.346	155.362	67028	0	0
2025.12.08	155.137	155.986	154.903	155.923	77689	0	0
2025.12.09	155.772	156.955	155.739	156.891	76068	0	0
2025.12.10	156.802	156.940	155.791	156.006	71799	0	0
2025.12.11	155.872	156.164	154.942	155.570	83924	0	0
2025.12.12	155.510	156.128	155.446	155.840	68837	0	0
2025.12.15	155.754	155.981	154.835	155.203	66655	0	0
2025.12.16	155.146	155.228	154.394	154.710	86152	0	0
2025.12.17	154.705	155.747	154.512	155.688	78329	0	0
2025.12.18	155.664	155.975	155.284	155.553	75617	0	0
2025.12.19	155.529	157.758	155.402	157.756	80384	0	0
2025.12.22	157.659	157.705	156.704	157.025	69362	0	0
2025.12.23	157.019	157.037	155.651	156.245	86112	0	0
2025.12.24	156.177	156.283	155.557	155.892	77475	0	0
2025.12.26	155.900	156.728	155.755	156.585	61425	0	2
2025.12.29	156.473	156.530	155.914	156.033	71280	0	0
2025.12.30	156.000	156.568	155.744	156.423	66802	0	0
2025.12.31	156.367	156.995	156.268	156.665	59235	0	0
2026.01.02	156.619	157.001	156.517	156.838	55230	0	0
2026.01.05	156.689	157.298	156.112	156.400	77277	0	0
2026.01.06	156.287	156.784	156.163	156.663	72964	0	0
2026.01.07	156.577	156.806	156.295	156.751	61882	0	0
2026.01.08	156.743	157.072	156.455	156.854	57677	0	0
2026.01.09	156.842	158.187	156.712	157.941	68498	0	0
2026.01.12	158.070	158.203	157.516	158.162	66434	0	0
2026.01.13	158.036	159.190	157.892	159.162	73205	0	0
2026.01.14	159.088	159.455	158.102	158.411	75013	0	0
2026.01.15	158.336	158.879	158.194	158.617	65054	0	0
2026.01.16	158.583	158.685	157.821	158.085	61554	0	0
